City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Riyadh,SA,24.6877,46.7219,87.85,11,0,9.22,dust
1,Nizhnevartovsk,RU,60.9344,76.5531,68.02,64,0,6.71,clear sky
2,Albany,US,42.6001,-73.9662,68.92,75,80,6.42,broken clouds
3,Coihaique,CL,-45.5752,-72.0662,37.35,65,0,3.44,clear sky
4,Anadyr,RU,64.75,177.4833,50.5,57,75,13.42,broken clouds
5,Chokurdakh,RU,70.6333,147.9167,64.67,38,100,5.66,overcast clouds
6,Pokhara,NP,28.2333,83.9833,71.74,88,100,4.12,overcast clouds
7,Hobart,AU,-42.8794,147.3294,57.02,92,75,1.01,broken clouds
8,Provideniya,RU,64.3833,-173.3,36.27,97,100,13.71,light rain
9,East London,ZA,-33.0153,27.9116,62.64,74,57,12.33,broken clouds
10,Chuy,UY,-33.6971,-53.4616,55.33,90,0,5.84,clear sky
11,Huarmey,PE,-10.0681,-78.1522,65.93,86,1,8.12,clear sky
12,Nikolskoye,RU,59.7035,30.7861,56.79,93,74,4.9,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,75.38,74,100,13.65,overcast clouds
14,Taitung,TW,22.7583,121.1444,88.07,58,75,2.3,broken clouds
15,Alikovo,RU,55.7383,46.7549,58.87,96,69,6.17,broken clouds
16,Acari,PE,-15.4311,-74.6158,66.99,69,4,1.57,clear sky
17,Busselton,AU,-33.65,115.3333,53.1,65,100,23.17,overcast clouds
18,Hithadhoo,MV,-0.6,73.0833,82.45,74,97,10.11,overcast clouds
19,Saint George,US,37.1041,-113.5841,106.27,5,1,1.01,clear sky
20,Tasiilaq,GL,65.6145,-37.6368,37.56,85,100,2.86,overcast clouds
21,Gastello,RU,49.1167,142.9667,56.12,80,92,2.82,overcast clouds
22,Buta,CD,2.7858,24.73,69.62,98,100,2.06,light rain
23,Moultrie,US,31.1799,-83.7891,80.37,69,1,3.44,clear sky
24,Khatanga,RU,71.9667,102.5,37.4,96,100,16.62,moderate rain
25,Vaini,TO,-21.2,-175.2,80.76,74,20,9.22,few clouds
26,Shahrud,IR,36.4182,54.9763,71.24,54,0,10.29,clear sky
27,Biak,ID,-0.9131,122.8766,77.04,86,100,4.36,overcast clouds
28,Geraldton,AU,-28.7667,114.6,66.61,63,75,6.91,broken clouds
29,Airai,TL,-8.9266,125.4092,73.0,47,66,3.4,broken clouds
30,Grindavik,IS,63.8424,-22.4338,42.75,75,75,16.11,broken clouds
31,Kenai,US,60.5544,-151.2583,65.03,69,1,14.97,clear sky
32,Port Keats,AU,-14.25,129.55,86.99,24,59,2.64,broken clouds
33,New Norfolk,AU,-42.7826,147.0587,56.66,86,99,1.21,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,37.06,81,40,17.27,scattered clouds
35,Cherskiy,RU,68.75,161.3,64.06,30,52,6.42,broken clouds
36,Pevek,RU,69.7008,170.3133,39.45,72,100,7.7,overcast clouds
37,Yellowknife,CA,62.456,-114.3525,70.32,52,40,14.97,scattered clouds
38,Moose Factory,CA,51.2585,-80.6094,53.6,50,90,6.91,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,49.48,91,97,3.18,overcast clouds
40,Ponta Do Sol,PT,32.6667,-17.1,70.43,69,87,5.48,overcast clouds
41,Acarau,BR,-2.8856,-40.12,78.1,83,5,9.86,clear sky
42,Itoman,JP,26.1247,127.6694,79.57,92,75,11.5,moderate rain
43,Lebu,CL,-37.6167,-73.65,48.81,79,100,19.55,overcast clouds
44,Martin,US,27.0837,-80.4164,83.98,78,96,11.65,overcast clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,69.39,59,59,10.4,broken clouds
46,Kapaa,US,22.0752,-159.319,84.18,68,75,5.01,broken clouds
47,Atuona,PF,-9.8,-139.0333,79.05,80,97,20.74,light rain
48,Deputatskiy,RU,69.3,139.9,60.28,41,100,1.28,light rain
49,Chapais,CA,49.7834,-74.8492,67.78,56,100,4.52,overcast clouds
50,Molina,CL,-35.1167,-71.2833,54.37,100,90,3.44,light rain
51,Alice Springs,AU,-23.7,133.8833,74.21,21,40,11.99,scattered clouds
52,Cabatuan,PH,10.8794,122.486,85.89,68,93,2.17,overcast clouds
53,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,100,90,9.22,fog
54,Ciudad Bolivar,VE,8.1222,-63.5497,80.92,69,65,12.35,broken clouds
55,Klaksvik,FO,62.2266,-6.589,49.12,84,99,19.98,overcast clouds
56,Barrow,US,71.2906,-156.7887,39.22,81,20,19.57,few clouds
57,Santa Marinella,IT,42.0345,11.8536,72.41,74,0,4.14,clear sky
58,Bluff,NZ,-46.6,168.3333,49.8,89,97,4.85,overcast clouds
59,Mezen,RU,65.8522,44.24,62.73,89,59,9.95,broken clouds
60,Saskylakh,RU,71.9167,114.0833,47.17,41,47,11.61,scattered clouds
61,Yoichi,JP,43.2039,140.7703,66.24,80,73,5.57,broken clouds
62,Coquimbo,CL,-29.9533,-71.3436,51.53,87,20,3.44,few clouds
63,Salalah,OM,17.0151,54.0924,82.49,89,40,2.3,scattered clouds
64,Setermoen,NO,68.861,18.3486,44.44,94,100,3.44,overcast clouds
65,Saint-Philippe,RE,-21.3585,55.7679,71.15,79,76,17.18,broken clouds
66,Celestun,MX,20.8667,-90.4,78.21,80,99,11.23,overcast clouds
67,Port Alfred,ZA,-33.5906,26.891,61.32,85,88,13.56,overcast clouds
68,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,18.41,clear sky
69,Muisne,EC,0.6,-80.0333,76.35,87,100,5.86,overcast clouds
70,Kaitangata,NZ,-46.2817,169.8464,53.69,91,99,5.12,overcast clouds
71,Hermanus,ZA,-34.4187,19.2345,53.91,84,1,4.76,clear sky
72,San Rafael,AR,-34.6177,-68.3301,55.08,47,16,9.31,few clouds
73,Ajdabiya,LY,30.7554,20.2263,68.61,87,0,8.05,clear sky
74,Ribeira Grande,PT,38.5167,-28.7,68.61,82,14,2.62,few clouds
75,Bredasdorp,ZA,-34.5322,20.0403,47.52,93,0,4.61,clear sky
76,San Patricio,US,28.017,-97.5169,87.89,72,5,8.79,clear sky
77,Cape Town,ZA,-33.9258,18.4232,54.12,100,27,3.44,mist
78,Jamestown,US,42.097,-79.2353,72.99,78,90,3.78,overcast clouds
79,Sao Borja,BR,-28.6606,-56.0044,54.77,84,0,7.02,clear sky
80,Georgetown,MY,5.4112,100.3354,84.88,82,20,3.44,few clouds
81,Arawa,PG,-6.2132,155.5367,85.59,72,7,4.16,light rain
82,Hilo,US,19.7297,-155.09,78.8,74,90,11.5,overcast clouds
83,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,14.97,scattered clouds
84,Cairns,AU,-16.9167,145.7667,83.1,75,40,3.44,scattered clouds
85,Trapani,IT,37.8333,12.6667,72.28,62,0,6.62,clear sky
86,Ulladulla,AU,-35.35,150.4667,63.88,58,65,3.36,broken clouds
87,Bethel,US,41.3712,-73.414,68.11,76,76,4.23,broken clouds
88,Tiarei,PF,-17.5333,-149.3333,82.42,73,21,18.9,light rain
89,Arcata,US,40.8665,-124.0828,67.19,96,90,3.0,mist
90,Puerto Escondido,MX,15.85,-97.0667,83.23,57,20,0.0,few clouds
91,Qaanaaq,GL,77.484,-69.3632,32.36,76,73,2.8,broken clouds
92,Sur,OM,22.5667,59.5289,89.08,57,3,2.42,clear sky
93,Morondava,MG,-20.2833,44.2833,67.1,81,0,5.1,clear sky
94,Kerema,PG,-7.9631,145.7785,83.07,75,29,5.12,scattered clouds
95,Lakatoro,VU,-16.0999,167.4164,81.91,68,77,6.85,broken clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,61.88,84,0,11.01,clear sky
97,Wawa,NG,9.9022,4.4192,80.51,64,34,7.31,scattered clouds
98,Saldanha,ZA,-33.0117,17.9442,42.85,86,82,6.04,broken clouds
99,Kidal,ML,18.4411,1.4078,86.23,34,0,3.2,clear sky
100,Aden,YE,12.7794,45.0367,87.39,65,100,14.67,overcast clouds
101,Kiomboi,TZ,-4.2667,34.3667,56.5,73,38,3.22,scattered clouds
102,Codrington,AU,-38.2667,141.9667,58.51,63,97,7.99,overcast clouds
103,Manokwari,ID,-0.8667,134.0833,78.21,83,97,3.42,light rain
104,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,0,11.5,clear sky
105,Clyde River,CA,70.4692,-68.5914,30.43,86,90,11.5,overcast clouds
106,Kontagora,NG,10.3999,5.4695,78.89,64,39,4.88,scattered clouds
107,Avarua,CK,-21.2078,-159.775,77.05,65,40,11.5,scattered clouds
108,Penzance,GB,50.1186,-5.5371,58.21,86,6,5.66,clear sky
109,Zhanaozen,KZ,43.3,52.8,77.95,38,97,13.31,overcast clouds
110,Aksu,CN,41.1231,80.2644,70.63,41,47,7.72,scattered clouds
111,Montijo,PT,38.7067,-8.9739,68.58,77,0,3.44,clear sky
112,Cabo San Lucas,MX,22.8909,-109.9124,85.3,69,75,0.0,broken clouds
113,Zhezkazgan,KZ,47.8043,67.7144,63.7,62,6,16.49,clear sky
114,Hovd,MN,48.0056,91.6419,55.17,34,39,4.21,scattered clouds
115,Binzhou,CN,37.3667,118.0167,84.7,56,100,11.14,light rain
116,Nuevitas,CU,21.5453,-77.2644,78.24,83,100,4.74,overcast clouds
117,Basco,PH,20.4487,121.9702,84.24,75,29,15.79,scattered clouds
118,Alofi,NU,-19.0595,-169.9187,78.69,73,79,16.11,broken clouds
119,Victoria,HK,22.2855,114.1577,89.96,79,100,1.01,overcast clouds
120,Tual,ID,-5.6667,132.75,81.32,80,100,15.95,moderate rain
121,College,US,64.8569,-147.8028,73.35,52,75,11.5,broken clouds
122,Kashi,CN,39.4547,75.9797,73.22,21,20,4.47,few clouds
123,Thompson,CA,55.7435,-97.8558,53.76,71,75,12.66,broken clouds
124,Dakar,SN,14.6937,-17.4441,77.88,86,95,8.57,overcast clouds
125,Samarai,PG,-10.6167,150.6667,81.72,76,30,8.3,scattered clouds
126,Castro,BR,-24.7911,-50.0119,46.35,94,0,4.63,clear sky
127,Yinchuan,CN,38.4681,106.2731,67.32,63,100,1.52,overcast clouds
128,Santa Rosalia,MX,27.3167,-112.2833,82.02,63,8,7.47,clear sky
129,Pytalovo,RU,57.0679,27.9138,48.4,97,17,6.42,few clouds
130,Narsaq,GL,60.9167,-46.05,44.82,83,15,3.42,few clouds
131,Sabang,ID,5.8933,95.3214,83.35,74,100,12.75,overcast clouds
132,Izhma,RU,65.0083,53.9113,64.0,70,99,5.1,overcast clouds
133,Bubaque,GW,11.2833,-15.8333,76.62,85,100,18.12,moderate rain
134,Beisfjord,NO,68.3751,17.5988,45.25,95,98,3.56,overcast clouds
135,Faya,SA,18.3851,42.4509,68.52,12,87,7.54,overcast clouds
136,Porosozero,RU,62.7191,32.727,48.47,89,4,5.95,clear sky
137,Malmyzh,RU,56.5205,50.6818,61.47,91,99,5.99,overcast clouds
138,Henties Bay,NA,-22.116,14.2845,66.83,44,1,4.38,clear sky
139,Marzuq,YE,14.4,46.4667,75.6,28,98,4.65,overcast clouds
140,Badhni Kalan,IN,30.6833,75.2833,89.96,45,12,5.14,few clouds
141,Imeni Poliny Osipenko,RU,52.4201,136.4853,66.85,36,13,4.09,few clouds
142,Fukue,JP,32.6881,128.8419,75.56,83,75,4.61,broken clouds
143,Qaqortoq,GL,60.7167,-46.0333,45.1,90,26,4.81,scattered clouds
144,Axim,GH,4.8699,-2.2405,78.94,86,89,7.09,light rain
145,Fuyang,CN,32.9,115.8167,87.08,68,100,11.21,overcast clouds
146,Kardla,EE,58.9978,22.7492,54.05,80,41,7.78,scattered clouds
147,Tara,RU,56.8944,74.371,68.76,66,57,2.86,broken clouds
148,Ozernovskiy,RU,51.5,156.5167,44.74,92,100,1.88,overcast clouds
149,Honiara,SB,-9.4333,159.95,86.76,67,75,7.81,broken clouds
150,Boende,CD,-0.2167,20.8667,70.54,91,69,2.75,broken clouds
151,Bichura,RU,50.5881,107.6022,62.76,48,70,2.62,broken clouds
152,Bengkulu,ID,-3.8004,102.2655,81.32,71,96,3.83,overcast clouds
153,Ilinskiy,RU,55.619,38.1182,61.38,100,20,2.24,few clouds
154,Omboue,GA,-1.5746,9.2618,75.99,90,99,6.93,overcast clouds
155,Atar,MR,20.5169,-13.0499,95.2,12,24,15.21,few clouds
156,Vieux-Habitants,GP,16.0589,-61.7659,78.37,80,100,12.24,overcast clouds
157,Bitlis,TR,38.5,42.25,51.82,47,0,5.41,clear sky
158,Lincoln,US,40.8,-96.667,87.24,70,1,4.61,clear sky
159,Sisimiut,GL,66.9395,-53.6735,36.07,76,91,3.53,overcast clouds
160,Bartica,GY,6.4,-58.6167,77.32,98,18,2.15,few clouds
161,Cabedelo,BR,-6.9811,-34.8339,74.07,89,78,10.6,broken clouds
162,Sarospatak,HU,48.3167,21.5833,58.71,79,7,5.91,clear sky
163,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,52,20,12.66,few clouds
164,Valparaiso,CL,-33.0393,-71.6273,54.48,78,81,5.93,broken clouds
165,Cayambe,EC,0.05,-78.1333,51.06,89,100,2.95,overcast clouds
166,Muros,ES,42.7762,-9.0603,68.5,91,50,4.68,scattered clouds
167,Tilichiki,RU,60.4667,166.1,57.79,42,8,4.81,clear sky
168,Griffith,US,41.5284,-87.4237,80.71,43,1,4.61,clear sky
169,Haines Junction,CA,60.7522,-137.5108,62.55,48,99,4.61,light rain
170,Poum,NC,-20.2333,164.0167,75.02,75,0,4.81,clear sky
171,Saint Anthony,US,45.0205,-93.218,89.38,23,1,17.27,clear sky
172,Longyearbyen,SJ,78.2186,15.6401,31.84,69,75,13.8,broken clouds
173,Husavik,IS,66.0449,-17.3389,37.31,93,100,6.89,overcast clouds
174,Gizo,SB,-8.103,156.8419,83.07,72,85,4.7,light rain
175,Shubarkuduk,KZ,49.1447,56.4872,70.79,43,41,11.3,scattered clouds
176,Douentza,ML,14.9951,-2.9517,93.94,29,52,5.57,broken clouds
177,Butaritari,KI,3.0707,172.7902,82.85,74,22,8.32,few clouds
178,Menzelinsk,RU,55.7271,53.1026,67.24,79,65,4.36,broken clouds
179,Caldwell,US,43.6629,-116.6874,96.15,26,1,8.05,clear sky
180,Cidreira,BR,-30.1811,-50.2056,59.85,80,0,12.62,clear sky
181,Maturin,VE,9.75,-63.1767,73.62,91,86,4.97,overcast clouds
182,Morro Bay,US,35.3658,-120.8499,83.75,70,22,5.99,few clouds
183,Altamira,BR,-3.2033,-52.2064,73.33,95,96,2.44,overcast clouds
184,Batagay-Alyta,RU,67.8006,130.4114,61.54,38,70,11.21,broken clouds
185,Srednekolymsk,RU,67.45,153.6833,77.43,25,97,8.52,overcast clouds
186,Shipitsyno,RU,61.2806,46.5208,60.62,93,58,5.7,broken clouds
187,North Bend,US,43.4065,-124.2243,62.92,91,90,8.05,overcast clouds
188,Kununurra,AU,-15.7667,128.7333,78.78,38,35,3.44,scattered clouds
189,Port Shepstone,ZA,-30.7414,30.455,67.87,64,6,13.31,clear sky
190,Jiazi,CN,22.8779,116.067,84.6,77,49,8.08,scattered clouds
191,Cayenne,GF,4.9333,-52.3333,76.08,91,90,0.0,overcast clouds
192,Trairi,BR,-3.2778,-39.2689,76.95,85,39,5.7,scattered clouds
193,Leningradskiy,RU,69.3833,178.4167,39.52,77,3,14.52,clear sky
194,Homer,US,59.6425,-151.5483,65.08,71,1,14.97,clear sky
195,Zhigansk,RU,66.7697,123.3711,55.4,74,100,4.43,overcast clouds
196,Mnogovershinnyy,RU,53.9353,139.9242,61.52,34,8,6.8,clear sky
197,Okha,RU,53.5739,142.9478,52.99,51,13,6.26,few clouds
198,Oistins,BB,13.0667,-59.5333,80.69,69,40,25.32,scattered clouds
199,Obo,CF,5.3998,26.4869,66.94,99,100,4.21,overcast clouds
200,Tecoanapa,MX,16.5167,-98.75,81.54,77,100,2.17,overcast clouds
201,Boguchany,RU,58.3814,97.4531,49.06,81,98,10.56,overcast clouds
202,Vestmannaeyjar,IS,63.4427,-20.2734,42.98,78,100,6.69,overcast clouds
203,Tiksi,RU,71.6872,128.8694,37.76,81,100,4.72,overcast clouds
204,Amapa,BR,1.0,-52.0,71.51,99,88,2.57,overcast clouds
205,Korla,CN,41.7597,86.1469,70.93,32,100,16.22,light rain
206,Eura,FI,61.1333,22.1333,50.22,74,98,5.32,overcast clouds
207,Kaduy,RU,59.2,37.15,58.57,81,24,4.0,few clouds
208,Vanimo,PG,-2.6741,141.3028,86.09,66,7,6.91,clear sky
209,Tadine,NC,-21.55,167.8833,76.82,77,93,10.09,overcast clouds
210,Ayorou,NE,14.7308,0.9174,91.53,32,36,3.4,scattered clouds
211,Ust-Kuyga,RU,70.0167,135.6,57.61,57,93,13.87,overcast clouds
212,Zyryanka,RU,65.75,150.85,80.44,22,7,13.56,clear sky
213,Broken Hill,AU,-31.95,141.4333,55.11,71,90,12.66,overcast clouds
214,Shingu,JP,33.7333,135.9833,77.99,72,12,6.29,few clouds
215,Kodiak,US,57.79,-152.4072,53.11,76,1,9.22,clear sky
216,Karakol,KG,42.4907,78.3936,52.92,61,5,4.23,clear sky
217,Wajir,KE,1.7471,40.0573,71.92,67,100,11.12,overcast clouds
218,Vardo,NO,70.3705,31.1107,46.71,74,69,14.74,broken clouds
219,Sinnamary,GF,5.3833,-52.95,77.86,86,77,6.49,broken clouds
220,Nago,JP,26.5881,127.9761,79.65,94,100,7.56,heavy intensity rain
221,Muncar,ID,-8.4333,114.3333,81.91,77,39,5.75,scattered clouds
222,Ilulissat,GL,69.2167,-51.1,37.42,75,90,3.44,overcast clouds
223,Buritama,BR,-21.0661,-50.1472,58.82,70,0,7.56,clear sky
224,Bodden Town,KY,19.2833,-81.25,84.2,57,20,1.99,few clouds
225,Estelle,US,29.8458,-90.1067,82.0,78,75,6.91,moderate rain
226,Wangaratta,AU,-36.3667,146.3333,53.65,83,90,2.3,overcast clouds
227,Kieta,PG,-6.2167,155.6333,84.38,73,7,6.26,light rain
228,Mount Gambier,AU,-37.8333,140.7667,57.11,72,85,10.36,overcast clouds
229,Dubbo,AU,-32.25,148.6167,53.73,66,75,3.44,broken clouds
230,Lompoc,US,34.6391,-120.4579,78.13,78,1,10.36,clear sky
231,Jijiga,ET,9.35,42.8,60.31,77,100,13.78,overcast clouds
232,Dryden,CA,49.7833,-92.7503,64.69,82,1,5.75,clear sky
233,Lethem,GY,3.3803,-59.7968,77.7,77,100,5.12,overcast clouds
234,Touros,BR,-5.1989,-35.4608,76.1,84,19,8.9,few clouds
235,Sant Feliu De Guixols,ES,41.7833,3.0333,75.0,24,7,5.23,clear sky
236,Fort Nelson,CA,58.8053,-122.7002,72.99,33,75,0.0,broken clouds
237,Lubango,AO,-14.9172,13.4925,51.4,35,36,4.79,scattered clouds
238,Guerrero,MX,17.6667,-100.0,67.24,92,85,4.16,overcast clouds
239,Merauke,ID,-8.4667,140.3333,83.88,72,70,9.69,broken clouds
